relevance,stance,frame_choice,frame_healthcare,frame_access,frame_race,frame_class,frame_life_fetus,frame_religious_moral,frame_health_impact,attack_abortion_opponent,attack_abortion_supporter,legal_policy,vote_mobilization,advocacy,care_recognition,care_responsibility,care_action,care_responsive,personal_experience,experience_type,institution,institution_text,institution_distrust
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,1,0,0,1,0,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,1,0,0,0,0,1,2,1,"""Supreme Court""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,0,0,1,0,0,0,0,NA,7,0,0
1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,2,"""Senator""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,0,0,1,0,0,0,0,NA,7,0,1
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,3,"""Governor""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,2,"""National""",
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,1,0,0,0,0,NA,1,"""Supreme Court""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,1,0,0,1,1,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,0
1,1,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,1,0,0,0,NA,1,"""SCOTUS""",0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,1,0,0,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,1,NA,1,1,1,1,1,0,0,0,NA,0,NA,NA
1,1,1,0,1,0,0,NA,NA,NA,0,NA,0,0,1,0,1,1,0,0,NA,2,"""VP""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"""covering news""",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,2,"""President Biden""",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,1,0,0,0,NA,3,"""Arizona""",0
1,2,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,NA,3,"""Governor"" and ""Pennsylvania""",0
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,NA,NA
1,1,1,0,1,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1,1,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,1,0,0,1,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,1,1,1,0,0,0,NA,0,NA,0
1,1,0,1,1,1,1,NA,NA,NA,1,NA,0,0,0,1,1,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,1,1,0,0,NA,NA,NA,1,NA,1,0,0,1,0,0,0,1,3,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,3,"""South Carolina's Supreme Court""",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,2,"""Government""",0
1,2,NA,NA,NA,NA,NA,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,6,"""Ohio Right to Life""",0
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,1,0,0,0,NA,2,"""Government""",1
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,1,0,0,0,NA,3,"""state legislator and leaders""",0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,1,0,1,0,0,1,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,1,1,1,"""Supreme Court""",NA
1,1,1,0,1,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,1,NA,1,1,1,1,1,0,0,0,NA,7,"""GOP""",1
1,1,1,1,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,1,1,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,1,0,0,0,0,0,NA,6,"""Students for Life America""",NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,1,1,1,0,0,0,NA,1,"""Biden Administration""",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,2,the government,0
1,1,0,1,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,"1,3","Supreme Court, the state",0
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,3,"Gov, AG, SoS, House, Senate, MI Supreme Court, Stated Board of Ed.",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,7,America,1
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,1,IN state Rep. Bartlett (D),0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1,3,3,The state,0
1,1,0,0,1,0,0,NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,NA,"1, 7","Supreme Court, the Legislature","0,0"
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,0,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,NA,1,Supreme Court,0
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,1,1,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,1,1,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,7,U.S.,0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,1,IN state Rep. Bartlett (D),0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,1,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,1,the US Supreme Court,0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,1,0,0,1,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,1,3,5,FBI,0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,1,supreme Court,0
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,"2, 6","Federal Government, hospitals","0,0"
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,4,FOX News,0
1,1,0,0,1,0,0,NA,NA,NA,0,NA,0,0,0,1,0,1,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,7,PAL (Pontifical Academy for Life),0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,"1,1,7","Supreme Court, U.S. Chief Justice John Roberts, This country","0,0,1"
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,1,1,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,1,Supreme Court,1
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,5,"""prosecute""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,1,1,0,0,1,0,0,NA,3,"""AZ""",0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,3,"""Idaho""",0
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,1,1,1,1,1,0,0,NA,3,"""Wisconsin""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,1,0,0,0,0,0,0,NA,3,"""Florida""",0
1,1,0,1,1,1,1,NA,NA,NA,0,NA,1,0,1,1,0,0,0,0,NA,3,"""Texas""",0
1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,1,0,0,1,0,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,"""Roe""",NA
1,1,1,0,1,0,0,NA,NA,NA,0,NA,0,1,1,1,0,1,0,0,NA,3,"""Wisconsin""",0
1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,1,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,1,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,1,0,0,0,0,0,0,0,0,NA,2,"""Biden""",1
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,NA,3,"""Ohio""",0
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,1,1,0,0,1,0,0,NA,1,"""Roe""",NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,1,1,1,0,1,0,0,NA,1,"""Roe""",NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,1,0,0,0,1,0,0,NA,3,"""WI""",1
1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"""Roe""",0
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,1,NA,1,0,0,1,0,0,0,1,1,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,1,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,1,1,0,0,0,1,0,0,NA,1,"""Roe""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,0,0,1,0,0,0,0,NA,1,"""Roe""",0
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,1,0,0,0,0,0,0,0,NA,2,"""House of Representatives""",0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,1,0,0,NA,1,"""Roe""",0
1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,1,0,0,1,1,0,0,0,NA,5,"""Prison""",0
1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,1,0,0,0,0,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,3,"""Ohio""",1
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,1,1,0,NA,NA,NA,0,NA,0,0,0,1,1,0,0,0,NA,0,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,3,"""Florida""",NA
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,1,0,0,NA,NA,NA,0,NA,0,0,0,1,1,1,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,6,"""Pregnancy center""",NA
1,1,1,1,1,0,0,NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,NA,0,NA,NA
1,1,0,1,0,0,0,NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,1,"""Roe""",0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"""Roe""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,0,0,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,1,"""Roe""",1
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,1,1,0,1,0,0,NA,6,"""US abortion access funds""",0
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,3,"""Georgia""",0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,"""Biden""",1
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,1,"""Roe""",0
1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,1,"""Roe""",1
1,3,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,NA,0,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,1,1,0,0,NA,3,"""NJ""",0
1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,3,"""Maine""",0
1,1,1,0,1,0,0,NA,NA,NA,0,NA,1,0,0,1,0,0,0,0,NA,1,"""Roe""",0
1,2,NA,NA,NA,NA,NA,1,0,1,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"""Roe""",1
1,1,0,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,1,0,0,NA,1,"""Roe""",0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,0,0,0,1,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,NA,3,"""Michigan""",0
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,1,0,0,0,0,0,0,0,NA,1,"""Roe""",0
